Timestamp,Power (w/kg),Form Power (w/kg),Air Power (w/kg),Watch Speed (m/s),Stryd Speed (m/s),Watch Distance (meters),Stryd Distance (meters),Stiffness,Stiffness/kg,Ground Time (ms),Cadence (spm),Vertical Oscillation (cm),Watch Elevation (m),Stryd Elevation (m),Ground Time Balance,Vertical Oscillation Balance,Leg Spring Stiffness Balance,Impact Loading Rate Balance,Vertical Ratio
1745263081,5.826666666666667,0.9466666666666667,0.5466666666666666,6.224,0,130.23,0,15.25,0.20333333333333334,146,212,5.875,628.20001,0,49.28,0,0,0,3.335206726047539
1745263082,5.293333333333333,1,0.38666666666666666,6.009,0,132.08,0,14.375,0.19166666666666668,158,190,6.75,628,0,49.4,0,0,0,3.557162280378166
1745263083,4.693333333333333,1,0.32,3.928,0,133.31,0,14.375,0.19166666666666668,172,190,6.75,627.79999,0,49.4,0,0,0,5.441705228874091
1745263084,4.693333333333333,1,0.32,2.575,0,134.49001,0,14.375,0.19166666666666668,172,190,6.75,627.79999,0,49.56,0,0,0,8.30094938265532
1745263085,4.173333333333333,1,0.32,2.081,0,135.42,0,13.25,0.17666666666666667,172,164,7.875,627.59998,0,0,0,0,0,10.343604696981638
1745263086,3.6533333333333333,0.9733333333333334,0.32,1.726,0,136.35001,0,12.875,0.17166666666666666,172,152,8.25,627.59998,0,0,0,0,0,12.108847531262843
1745263087,3.16,0.9733333333333334,0.32,1.512,0,137.69,0,12.875,0.17166666666666666,172,152,8.25,627.59998,0,0,0,0,0,13.822800080423564
1745263088,2.7066666666666666,0.92,0.08,1.362,0,139.11,0,12,0.16,444,134,9,627.59998,0,0,0,0,0,14.75772730999426
1745263089,2.3333333333333335,0.92,0.06666666666666667,1.362,0,140.25,0,12,0.16,508,134,9,627.40002,0,0,0,0,0,14.75772730999426
1745263090,2,0.8666666666666667,0.06666666666666667,1.344,0,141.35001,0,10.625,0.14166666666666666,508,122,10,627.40002,0,0,0,0,0,15.129050803352598
1745263091,1.72,0.8266666666666667,0.06666666666666667,1.344,0,142.44,0,9.875,0.13166666666666665,568,118,11.25,627.40002,0,0,0,0,0,16.462049488578995
1745263092,1.72,0.8266666666666667,0.05333333333333334,1.166,0,143.94,0,9.875,0.13166666666666665,626,118,11.25,627.40002,0,0,0,0,0,18.975172041559844
1745263093,1.4533333333333334,0.7466666666666667,0.05333333333333334,1.138,0,145.08,0,0,0,626,112,0,627.40002,0,0,0,0,0,0
1745263094,1.4266666666666667,0.72,0.05333333333333334,1.129,0,146.49001,0,0,0,626,112,0,627.20001,0,0,0,0,0,0
1745263095,1.44,0.72,0.06666666666666667,1.185,0,147.94,0,0,0,688,112,0,627.20001,0,0,0,0,0,0
1745263096,1.4533333333333334,0.72,0.08,1.316,0,149.42,0,0,0,690,112,0,627.20001,0,0,0,0,0,0
1745263097,1.4533333333333334,0.72,0.08,1.316,0,151,0,0,0,686,112,0,627.40002,0,0,0,0,0,0
1745263098,1.4666666666666666,0.72,0.08,1.353,0,152.19,0,0,0,686,112,0,627.59998,0,0,0,0,0,0
1745263099,1.4666666666666666,0.72,0.08,1.362,0,153.28999,0,0,0,686,112,0,628,0,0,0,0,0,0
1745263100,1.48,0.72,0.06666666666666667,1.362,0,154.56,0,0,0,684,112,0,628.20001,0,0,0,0,0,0
1745263101,1.48,0.72,0.06666666666666667,1.325,0,155.96001,0,0,0,686,112,0,628.59998,0,0,0,0,0,0
1745263102,1.4933333333333334,0.72,0.06666666666666667,1.269,0,157.39,0,0,0,686,112,0,628.79999,0,0,0,0,0,0
1745263103,1.5066666666666666,0.72,0.05333333333333334,1.269,0,158.78,0,0,0,682,114,0,629.20001,0,0,0,0,0,0
1745263104,1.5066666666666666,0.72,0.04,1.278,0,160.39999,0,0,0,680,114,0,629.20001,0,0,0,0,0,0
1745263105,1.52,0.72,0.04,1.297,0,162.16,0,0,0,682,114,0,629.20001,0,0,0,0,0,0
1745263106,1.5333333333333334,0.72,0.04,1.306,0,163.77,0,0,0,682,114,0,629.20001,0,0,0,0,0,0
1745263107,1.5333333333333334,0.72,0.04,1.344,0,165.60001,0,0,0,682,114,0,629.20001,0,0,0,0,0,0
1745263108,1.56,0.72,0.02666666666666667,1.381,0,167.36,0,0,0,678,114,0,629.20001,0,0,0,0,0,0
1745263109,1.56,0.72,0.013333333333333334,1.409,0,169.09,0,0,0,676,114,0,629.20001,0,0,0,0,0,0
1745263110,1.5733333333333333,0.72,0.013333333333333334,1.446,0,170.44,0,0,0,676,114,0,629.20001,0,0,0,0,0,0
1745263111,1.5866666666666667,0.72,0.013333333333333334,1.474,0,171.84,0,0,0,676,114,0,629,0,0,0,0,0,0
1745263112,1.6,0.72,0.013333333333333334,1.493,0,173.11,0,0,0,676,114,0,629,0,0,0,0,0,0
1745263113,1.6133333333333333,0.72,0.013333333333333334,1.493,0,174.06,0,0,0,678,114,0,628.79999,0,0,0,0,0,0
1745263114,1.6133333333333333,0.72,0.013333333333333334,1.484,0,175.58,0,0,0,678,114,0,628.79999,0,0,0,0,0,0
1745263115,1.6133333333333333,0.72,0.013333333333333334,1.446,0,176.85001,0,0,0,678,114,0,628.79999,0,0,0,0,0,0
1745263116,1.6266666666666667,0.72,0.013333333333333334,1.39,0,177.83,0,0,0,678,114,0,628.79999,0,0,0,0,0,0
1745263117,1.6266666666666667,0.72,0.013333333333333334,1.381,0,178.92999,0,0,0,680,114,0,628.79999,0,0,0,0,0,0
1745263118,1.6266666666666667,0.72,0.013333333333333334,1.381,0,179.99001,0,0,0,680,114,0,628.79999,0,0,0,0,0,0
1745263119,1.6133333333333333,0.72,0.02666666666666667,1.353,0,181.86,0,0,0,682,112,0,628.79999,0,0,0,0,0,0
1745263120,1.6,0.72,0.02666666666666667,1.344,0,183.48,0,0,0,684,112,0,628.79999,0,0,0,0,0,0
1745263121,1.6,0.72,0.02666666666666667,1.344,0,185.2,0,0,0,684,112,0,628.79999,0,0,0,0,0,0
1745263122,1.5866666666666667,0.72,0.02666666666666667,1.362,0,186.91,0,0,0,684,112,0,629,0,0,0,0,0,0
1745263123,1.5733333333333333,0.72,0.02666666666666667,1.381,0,188.46001,0,0,0,684,112,0,628.79999,0,0,0,0,0,0
1745263124,1.5733333333333333,0.72,0.02666666666666667,1.4,0,189.53999,0,0,0,684,112,0,628.79999,0,0,0,0,0,0
1745263125,1.5866666666666667,0.72,0.02666666666666667,1.418,0,191.10001,0,0,0,684,112,0,628.79999,0,0,0,0,0,0
1745263126,1.5866666666666667,0.72,0.02666666666666667,1.418,0,192.83,0,0,0,684,112,0,628.79999,0,0,0,0,0,0
1745263127,1.5866666666666667,0.72,0.02666666666666667,1.409,0,194.35001,0,0,0,684,112,0,629,0,0,0,0,0,0
1745263128,1.5733333333333333,0.72,0.02666666666666667,1.409,0,195.61,0,0,0,688,112,0,629,0,0,0,0,0,0
1745263129,1.6,0.72,0.013333333333333334,1.418,0,196.21001,0,0,0,690,112,0,628.79999,0,0,0,0,0,0
1745263130,1.6133333333333333,0.72,0.013333333333333334,1.418,0,197.5,0,0,0,690,112,0,628.79999,0,0,0,0,0,0
1745263131,1.6266666666666667,0.72,0.013333333333333334,1.418,0,198.73,0,0,0,690,112,0,628.79999,0,0,0,0,0,0
1745263132,1.6266666666666667,0.72,0.013333333333333334,1.381,0,200.09,0,0,0,692,112,0,628.40002,0,0,0,0,0,0
1745263133,1.6533333333333333,0.72,0.013333333333333334,1.372,0,201.42999,0,0,0,692,112,0,628.40002,0,0,0,0,0,0
1745263134,1.6533333333333333,0.72,0.013333333333333334,1.362,0,202.78999,0,0,0,692,112,0,628.40002,0,0,0,0,0,0
1745263135,1.6533333333333333,0.72,0.013333333333333334,1.362,0,204.24001,0,0,0,694,112,0,628.40002,0,0,0,0,0,0
1745263136,1.68,0.72,0.013333333333333334,1.362,0,205.95,0,0,0,692,112,0,628.79999,0,0,0,0,0,0
1745263137,1.6933333333333334,0.72,0.013333333333333334,1.362,0,207.74001,0,0,0,690,112,0,629,0,0,0,0,0,0
1745263138,1.72,0.72,0.013333333333333334,1.362,0,209.64,0,0,0,690,112,0,629,0,0,0,0,0,0
1745263139,1.7466666666666666,0.72,0.013333333333333334,1.372,0,211.48,0,0,0,690,112,0,629,0,0,0,0,0,0
1745263140,1.7466666666666666,0.72,0.02666666666666667,1.39,0,213.23,0,0,0,686,112,0,629.40002,0,0,0,0,0,0
1745263141,1.7333333333333334,0.72,0.02666666666666667,1.409,0,214.59,0,0,0,686,112,0,629.59998,0,0,0,0,0,0
1745263142,1.72,0.72,0.02666666666666667,1.428,0,216.2,0,0,0,686,112,0,629.59998,0,0,0,0,0,0
1745263143,1.7066666666666668,0.72,0.02666666666666667,1.437,0,217.75999,0,0,0,686,112,0,629.59998,0,0,0,0,0,0
1745263144,1.68,0.72,0.02666666666666667,1.437,0,218.92,0,0,0,686,112,0,629.40002,0,0,0,0,0,0
1745263145,1.68,0.72,0.02666666666666667,1.446,0,219.61,0,0,0,682,112,0,629.20001,0,0,0,0,0,0
1745263146,1.64,0.72,0.02666666666666667,1.446,0,220.77,0,0,0,680,112,0,629,0,0,0,0,0,0
1745263147,1.6133333333333333,0.72,0.04,1.446,0,222.28,0,0,0,682,112,0,629,0,0,0,0,0,0
1745263148,1.6133333333333333,0.72,0.04,1.409,0,223.35001,0,0,0,682,112,0,629,0,0,0,0,0,0
1745263149,1.5866666666666667,0.72,0.04,1.39,0,224.72,0,0,0,684,112,0,629,0,0,0,0,0,0
1745263150,1.5866666666666667,0.72,0.04,1.39,0,226.27,0,0,0,686,112,0,629.40002,0,0,0,0,0,0
1745263151,1.5866666666666667,0.72,0.05333333333333334,1.381,0,227.71001,0,0,0,684,112,0,629.40002,0,0,0,0,0,0
1745263152,1.5866666666666667,0.72,0.05333333333333334,1.381,0,229.49001,0,0,0,684,112,0,629.40002,0,0,0,0,0,0
1745263153,1.56,0.72,0.04,1.381,0,231.3,0,0,0,682,112,0,629.40002,0,0,0,0,0,0
1745263154,1.56,0.72,0.05333333333333334,1.381,0,233.19,0,0,0,678,112,0,629.59998,0,0,0,0,0,0
1745263155,1.5733333333333333,0.72,0.05333333333333334,1.39,0,234.98,0,0,0,678,114,0,629.59998,0,0,0,0,0,0
1745263156,1.5733333333333333,0.72,0.05333333333333334,1.409,0,236.73,0,0,0,678,114,0,629.59998,0,0,0,0,0,0
1745263157,1.6133333333333333,0.72,0.05333333333333334,1.428,0,238.34,0,0,0,678,114,0,629.40002,0,0,0,0,0,0
1745263158,1.6133333333333333,0.72,0.05333333333333334,1.446,0,239.53,0,0,0,678,114,0,629.40002,0,0,0,0,0,0
1745263159,1.6,0.72,0.05333333333333334,1.456,0,241.17,0,0,0,674,114,0,629.40002,0,0,0,0,0,0
1745263160,1.5866666666666667,0.72,0.02666666666666667,1.456,0,242.63,0,0,0,666,114,0,629.20001,0,0,0,0,0,0
1745263161,1.5866666666666667,0.72,0.02666666666666667,1.465,0,244.34,0,0,0,666,114,0,629.20001,0,0,0,0,0,0
1745263162,1.5733333333333333,0.72,0.02666666666666667,1.465,0,245.84,0,0,0,666,114,0,629,0,0,0,0,0,0
1745263163,1.5866666666666667,0.72,0.02666666666666667,1.465,0,247.14999,0,0,0,664,116,0,629,0,0,0,0,0,0
1745263164,1.5866666666666667,0.72,0.02666666666666667,1.474,0,248.31,0,0,0,662,116,0,629,0,0,0,0,0,0
1745263165,1.5733333333333333,0.72,0.02666666666666667,1.484,0,249.61,0,0,0,660,116,0,629.20001,0,0,0,0,0,0
1745263166,1.5333333333333334,0.72,0.02666666666666667,1.484,0,251.08,0,0,0,660,116,0,629.20001,0,0,0,0,0,0
1745263167,1.5066666666666666,0.72,0.013333333333333334,1.474,0,252.09,0,0,0,660,116,0,629.20001,0,0,0,0,0,0
1745263168,1.4933333333333334,0.72,0.013333333333333334,1.465,0,253.2,0,0,0,658,116,0,629.20001,0,0,0,0,0,0
1745263169,1.4933333333333334,0.72,0.013333333333333334,1.465,0,254.42999,0,0,0,660,116,0,629.20001,0,0,0,0,0,0
1745263170,1.48,0.72,0.013333333333333334,1.446,0,255.88,0,0,0,662,114,0,629,0,0,0,0,0,0
1745263171,1.48,0.72,0.013333333333333334,1.437,0,257.31,0,0,0,662,116,0,629,0,0,0,0,0,0
1745263172,1.4666666666666666,0.72,0.02666666666666667,1.437,0,258.66,0,0,0,660,116,0,629,0,0,0,0,0,0
1745263173,1.4666666666666666,0.72,0.02666666666666667,1.428,0,260.09,0,0,0,662,116,0,629,0,0,0,0,0,0
1745263174,1.4666666666666666,0.72,0.02666666666666667,1.428,0,261.42001,0,0,0,664,116,0,629,0,0,0,0,0,0
1745263175,1.4533333333333334,0.72,0.02666666666666667,1.428,0,263.04999,0,0,0,666,114,0,628.79999,0,0,0,0,0,0
1745263176,1.4666666666666666,0.72,0.02666666666666667,1.418,0,265.01001,0,0,0,666,114,0,628.79999,0,0,0,0,0,0
1745263177,1.48,0.72,0.02666666666666667,1.418,0,266.70999,0,0,0,664,114,0,628.79999,0,0,0,0,0,0
1745263178,1.48,0.72,0.02666666666666667,1.418,0,268.17001,0,0,0,664,116,0,628.79999,0,0,0,0,0,0
1745263179,1.48,0.72,0.02666666666666667,1.437,0,269.60001,0,0,0,662,114,0,628.79999,0,0,0,0,0,0
1745263180,1.4933333333333334,0.72,0.04,1.437,0,270.95001,0,0,0,662,114,0,628.59998,0,0,0,0,0,0
1745263181,1.4666666666666666,0.72,0.02666666666666667,1.446,0,272.09,0,0,0,666,114,0,628.59998,0,0,0,0,0,0
1745263182,1.48,0.72,0.02666666666666667,1.446,0,273.64001,0,0,0,666,114,0,628.40002,0,0,0,0,0,0
1745263183,1.4933333333333334,0.72,0.02666666666666667,1.446,0,275.76999,0,0,0,666,114,0,628.40002,0,0,0,0,0,0
1745263184,1.5066666666666666,0.72,0.04,1.446,0,277.75,0,0,0,662,114,0,628.59998,0,0,0,0,0,0
1745263185,1.52,0.72,0.04,1.446,0,279.64001,0,0,0,658,116,0,628.59998,0,0,0,0,0,0
1745263186,1.5066666666666666,0.72,0.04,1.465,0,281.45001,0,0,0,658,116,0,628.79999,0,0,0,0,0,0
1745263187,1.52,0.72,0.04,1.474,0,282.84,0,0,0,658,114,0,628.79999,0,0,0,0,0,0
1745263188,1.5333333333333334,0.72,0.05333333333333334,1.493,0,284.17001,0,0,0,660,114,0,628.79999,0,0,0,0,0,0
1745263189,1.5333333333333334,0.72,0.05333333333333334,1.502,0,285.09,0,0,0,660,114,0,628.79999,0,0,0,0,0,0
1745263190,1.5333333333333334,0.72,0.05333333333333334,1.502,0,286.01999,0,0,0,664,114,0,628.79999,0,0,0,0,0,0
1745263191,1.5333333333333334,0.72,0.05333333333333334,1.502,0,287.12,0,0,0,666,114,0,628.79999,0,0,0,0,0,0
1745263192,1.5466666666666666,0.72,0.05333333333333334,1.493,0,288.23999,0,0,0,666,114,0,628.79999,0,0,0,0,0,0
1745263193,1.5333333333333334,0.72,0.04,1.484,0,289.70999,0,0,0,666,114,0,628.79999,0,0,0,0,0,0
1745263194,1.5466666666666666,0.72,0.04,1.474,0,291.09,0,0,0,668,114,0,628.79999,0,0,0,0,0,0
1745263195,1.5733333333333333,0.72,0.04,1.465,0,292.75,0,0,0,668,114,0,629,0,0,0,0,0,0
1745263196,1.5733333333333333,0.72,0.05333333333333334,1.465,0,294.64999,0,0,0,670,114,0,629,0,0,0,0,0,0
1745263197,1.5733333333333333,0.72,0.05333333333333334,1.465,0,296.47,0,0,0,670,114,0,629,0,0,0,0,0,0
1745263198,1.5733333333333333,0.72,0.04,1.465,0,298.28,0,0,0,670,114,0,629,0,0,0,0,0,0
1745263199,1.5866666666666667,0.72,0.04,1.474,0,300.13,0,0,0,666,114,0,629,0,0,0,0,0,0
1745263200,1.6,0.72,0.04,1.484,0,302.09,0,0,0,664,114,0,629,0,0,0,0,0,0
1745263201,1.6133333333333333,0.72,0.04,1.493,0,303.35001,0,0,0,664,114,0,629,0,0,0,0,0,0
1745263202,1.6133333333333333,0.72,0.04,1.493,0,304.85001,0,0,0,664,116,0,628.79999,0,0,0,0,0,0
1745263203,1.6,0.72,0.04,1.502,0,306.64999,0,0,0,662,116,0,628.79999,0,0,0,0,0,0
1745263204,1.6,0.72,0.04,1.502,0,308.26001,0,0,0,662,116,0,628.59998,0,0,0,0,0,0
1745263205,1.6133333333333333,0.72,0.04,1.512,0,309.73001,0,0,0,664,116,0,628.59998,0,0,0,0,0,0
1745263206,1.6133333333333333,0.72,0.04,1.512,0,311.41,0,0,0,668,114,0,628.59998,0,0,0,0,0,0
1745263207,1.6133333333333333,0.72,0.04,1.521,0,312.67001,0,0,0,668,114,0,628.40002,0,0,0,0,0,0
1745263208,1.6,0.72,0.04,1.521,0,313.89999,0,0,0,672,114,0,628.40002,0,0,0,0,0,0
1745263209,1.6,0.72,0.02666666666666667,1.521,0,315.10999,0,0,0,674,114,0,628.40002,0,0,0,0,0,0
1745263210,1.6,0.72,0.02666666666666667,1.521,0,316.19,0,0,0,674,114,0,628.40002,0,0,0,0,0,0
1745263211,1.6133333333333333,0.72,0.04,1.512,0,317.41,0,0,0,680,114,0,628.40002,0,0,0,0,0,0
1745263212,1.6133333333333333,0.72,0.04,1.512,0,318.76999,0,0,0,680,114,0,628.40002,0,0,0,0,0,0
1745263213,1.6133333333333333,0.72,0.04,1.502,0,320.26999,0,0,0,682,112,0,628.40002,0,0,0,0,0,0
1745263214,1.64,0.72,0.02666666666666667,1.493,0,321.73999,0,0,0,682,112,0,628.40002,0,0,0,0,0,0
1745263215,1.6266666666666667,0.72,0.04,1.493,0,323.35999,0,0,0,680,114,0,628.40002,0,0,0,0,0,0
1745263216,1.6266666666666667,0.72,0.04,1.493,0,325.14001,0,0,0,680,114,0,628.59998,0,0,0,0,0,0
1745263217,1.6133333333333333,0.72,0.04,1.493,0,326.48999,0,0,0,678,114,0,628.59998,0,0,0,0,0,0
1745263218,1.6,0.72,0.04,1.493,0,328.17001,0,0,0,674,114,0,628.59998,0,0,0,0,0,0
1745263219,1.5866666666666667,0.72,0.04,1.502,0,329.64999,0,0,0,674,114,0,628.40002,0,0,0,0,0,0
1745263220,1.5866666666666667,0.72,0.04,1.502,0,331.31,0,0,0,674,114,0,628.40002,0,0,0,0,0,0
1745263221,1.5866666666666667,0.72,0.04,1.502,0,333.14999,0,0,0,676,114,0,628.40002,0,0,0,0,0,0
1745263222,1.56,0.72,0.04,1.502,0,334.95999,0,0,0,672,114,0,628.40002,0,0,0,0,0,0
1745263223,1.56,0.72,0.04,1.502,0,336.70001,0,0,0,672,114,0,628.40002,0,0,0,0,0,0
1745263224,1.5733333333333333,0.72,0.04,1.512,0,337.95001,0,0,0,670,114,0,628.40002,0,0,0,0,0,0
1745263225,1.56,0.72,0.04,1.521,0,339.31,0,0,0,672,114,0,628.40002,0,0,0,0,0,0
1745263226,1.5466666666666666,0.72,0.04,1.521,0,340.54999,0,0,0,672,114,0,628.40002,0,0,0,0,0,0
1745263227,1.5466666666666666,0.72,0.04,1.521,0,341.85999,0,0,0,672,114,0,628.40002,0,0,0,0,0,0
1745263228,1.56,0.72,0.04,1.521,0,342.85999,0,0,0,672,114,0,628.59998,0,0,0,0,0,0
1745263229,1.56,0.72,0.04,1.512,0,343.89001,0,0,0,672,114,0,628.59998,0,0,0,0,0,0
1745263230,1.56,0.72,0.04,1.512,0,344.85001,0,0,0,672,114,0,628.59998,0,0,0,0,0,0
1745263231,1.56,0.72,0.04,1.502,0,346.31,0,0,0,672,114,0,628.40002,0,0,0,0,0,0
1745263232,1.5733333333333333,0.72,0.04,1.493,0,347.85001,0,0,0,672,114,0,628.40002,0,0,0,0,0,0
1745263233,1.5733333333333333,0.72,0.04,1.484,0,349.32999,0,0,0,672,114,0,628.40002,0,0,0,0,0,0
1745263234,1.56,0.72,0.04,1.474,0,350.66,0,0,0,674,114,0,628.59998,0,0,0,0,0,0
1745263235,1.56,0.72,0.04,1.484,0,352.48999,0,0,0,674,114,0,628.59998,0,0,0,0,0,0
1745263236,1.5866666666666667,0.72,0.04,1.474,0,354.34,0,0,0,670,114,0,628.59998,0,0,0,0,0,0
1745263237,1.5866666666666667,0.72,0.04,1.474,0,356.07001,0,0,0,670,114,0,628.59998,0,0,0,0,0,0
1745263238,1.6266666666666667,0.72,0.04,1.484,0,357.92001,0,0,0,668,114,0,628.79999,0,0,0,0,0,0
1745263239,1.6666666666666667,0.72,0.04,1.484,0,359.64999,0,0,0,670,114,0,629,0,0,0,0,0,0
1745263240,1.7333333333333334,0.72,0.04,1.493,0,361.32001,0,0,0,670,114,0,629,0,0,0,0,0,0
1745263241,1.7866666666666666,0.72,0.04,1.502,0,362.44,0,0,0,674,114,0,629.20001,0,0,0,0,0,0
1745263242,1.8266666666666667,0.72,0.04,1.502,0,364.17999,0,0,0,674,112,0,629.20001,0,0,0,0,0,0
1745263243,1.84,0.72,0.04,1.502,0,365.66,0,0,0,674,112,0,629.59998,0,0,0,0,0,0
1745263244,1.88,0.72,0.04,1.502,0,366.88,0,0,0,678,112,0,629.59998,0,0,0,0,0,0
1745263245,1.8933333333333333,0.72,0.04,1.502,0,368.03,0,0,0,672,114,0,629.59998,0,0,0,0,0,0
1745263246,1.84,0.72,0.02666666666666667,1.502,0,369.25,0,0,0,680,114,0,629.59998,0,0,0,0,0,0
1745263247,1.84,0.72,0.02666666666666667,1.493,0,370.51001,0,0,0,680,112,0,629.59998,0,0,0,0,0,0
1745263248,1.76,0.72,0.02666666666666667,1.484,0,371.89999,0,0,0,686,112,0,629.59998,0,0,0,0,0,0
1745263249,1.7066666666666668,0.72,0.04,1.474,0,372.98001,0,0,0,688,112,0,629.59998,0,0,0,0,0,0
1745263250,1.6266666666666667,0.72,0.04,1.465,0,374.45999,0,0,0,676,114,0,629.59998,0,0,0,0,0,0
1745263251,1.5866666666666667,0.72,0.04,1.465,0,375.92999,0,0,0,676,114,0,629.59998,0,0,0,0,0,0
1745263252,1.5466666666666666,0.72,0.04,1.456,0,377.31,0,0,0,672,114,0,629.59998,0,0,0,0,0,0
1745263253,1.5066666666666666,0.72,0.04,1.456,0,379.06,0,0,0,670,114,0,629.59998,0,0,0,0,0,0
1745263254,1.5066666666666666,0.72,0.04,1.456,0,380.59,0,0,0,664,114,0,629.59998,0,0,0,0,0,0
1745263255,1.5066666666666666,0.72,0.04,1.456,0,382.35001,0,0,0,664,114,0,629.59998,0,0,0,0,0,0
1745263256,1.5066666666666666,0.72,0.04,1.465,0,384.07001,0,0,0,664,116,0,629.40002,0,0,0,0,0,0
1745263257,1.52,0.72,0.05333333333333334,1.465,0,385.79001,0,0,0,656,116,0,629.40002,0,0,0,0,0,0
1745263258,1.52,0.72,0.04,1.474,0,387.57999,0,0,0,654,116,0,629.40002,0,0,0,0,0,0
1745263259,1.52,0.72,0.04,1.474,0,389.23001,0,0,0,652,116,0,629.40002,0,0,0,0,0,0
1745263260,1.5333333333333334,0.72,0.04,1.484,0,391.07001,0,0,0,652,116,0,629.40002,0,0,0,0,0,0
1745263261,1.5466666666666666,0.72,0.04,1.493,0,392.70001,0,0,0,652,116,0,629.40002,0,0,0,0,0,0
1745263262,1.5733333333333333,0.72,0.04,1.502,0,394.69,0,0,0,652,116,0,629.20001,0,0,0,0,0,0
